"name","genes"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PTDSS1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PTDSS2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ABHD3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ABHD4"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ABHD5"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ABHD8"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ACP6"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ACSL1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ACSL3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AGMO"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AGPAT1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AGPAT2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AGPAT3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AGPAT4"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AGPAT5"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AJUBA"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ALOX15"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ANG"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","APOA1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","APOA2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ATG14"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ATM"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AVIL"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","AWAT2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","BECN1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","BMX"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","BPNT1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","BPNT2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","C3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CAPN2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CDIPT"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CDS1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CDS2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CEPT1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CHAT"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CHKA"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CHKB"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CHPT1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CISH"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CLN3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CNEP1R1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CRLS1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CTDNEP1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","CWH43"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGAT1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGAT2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGAT2L6"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKA"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKB"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKD"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKE"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKG"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKH"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKQ"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DGKZ"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DHRS7B"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DPM1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DPM2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","DPM3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","EFR3A"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","EFR3B"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ETNK1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","ETNK2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FABP3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FABP5"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FAM126A"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FAM126B"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FAR1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FBXW7"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FGF2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FIG4"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","FITM2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GK"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GNPAT"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GPAA1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GPAM"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GPAT2"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GPAT3"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GPAT4"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","GPLD1"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","HDHD5"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","HTR2A"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","HTR2B"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","HTR2C"
"C5.GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS","IMPA1"
